time,TempPlant1,TempPlant2,TempPlant4,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-11T00:00:00.0,5.73,5.41,5.29,5.34,67.567347682,6.312,5.187
2020-02-11T00:01:00.0,5.37,5.63,5.49,5.39,67.026046408,6.312,5.187
2020-02-11T00:02:00.0,5.81,5.85,5.01,5.4,67.206595042,6.312,5.187
2020-02-11T00:03:00.0,5.41,5.73,5.37,5.42,67.38702880000001,6.375,5.187
2020-02-11T00:04:00.0,5.07,5.33,5.63,5.52,68.1375996125,6.312,5.187
2020-02-11T00:05:00.0,5.71,5.51,5.45,5.42,67.83761061250001,6.312,5.187
2020-02-11T00:06:00.0,5.81,5.93,5.33,5.42,67.987645,6.312,5.187
2020-02-11T00:07:00.0,5.73,5.51,5.49,5.44,67.807594162,6.312,5.187
2020-02-11T00:08:00.0,5.81,5.11,5.63,5.44,68.107615072,6.375,5.187
2020-02-11T00:09:00.0,5.33,5.77,5.37,5.45,68.3174398445,6.375,5.187
2020-02-11T00:10:00.0,5.67,5.73,5.23,5.42,68.16758096200002,6.312,5.187
2020-02-11T00:11:00.0,5.49,6.13,5.29,5.44,67.86762387200001,6.375,5.187
2020-02-11T00:12:00.0,5.67,5.81,5.07,5.42,68.07762734050002,6.312,5.187
2020-02-11T00:13:00.0,5.05,5.59,5.49,5.38,67.86762387200001,6.312,5.125
2020-02-11T00:14:00.0,5.29,5.45,5.45,5.44,67.86762387200001,6.312,5.125
2020-02-11T00:15:00.0,5.93,5.89,5.29,5.46,68.107615072,6.312,5.187
2020-02-11T00:16:00.0,6.03,6.07,5.51,5.44,68.52710825800001,6.312,5.187
2020-02-11T00:17:00.0,5.51,5.73,5.37,5.44,68.5869848,6.312,5.125
2020-02-11T00:18:00.0,5.67,5.63,5.33,5.38,68.6767756805,6.25,5.125
2020-02-11T00:19:00.0,5.51,5.59,5.41,5.56,68.94597600800002,6.25,5.125
2020-02-11T00:20:00.0,5.37,5.41,5.07,5.38,69.1551753445,6.25,5.125
2020-02-11T00:21:00.0,5.23,5.81,5.11,5.32,68.5869848,6.25,5.062
2020-02-11T00:22:00.0,5.63,6.03,5.11,5.34,68.347402048,6.25,5.062
2020-02-11T00:23:00.0,5.19,5.89,5.19,5.28,68.7964521805,6.187,5
2020-02-11T00:24:00.0,5.55,5.73,5.45,5.22,68.347402048,6.187,5
2020-02-11T00:25:00.0,5.23,5.93,5.41,5.3,68.3773610605,6.125,5
2020-02-11T00:26:00.0,5.33,5.67,5.33,5.26,68.467218952,6.125,5
2020-02-11T00:27:00.0,5.63,5.85,5.07,5.25,68.5869848,6.125,5
2020-02-11T00:28:00.0,5.51,5.37,5.23,5.22,68.2575058645,6.125,4.937
2020-02-11T00:29:00.0,5.37,5.23,5.15,5.18,68.3174398445,6.125,4.937
2020-02-11T00:30:00.0,5.89,5.41,4.97,5.16,68.43726951250001,6.062,4.937
2020-02-11T00:31:00.0,5.33,5.73,4.75,5.19,68.646848578,6.062,4.937
2020-02-11T00:32:00.0,5.27,5.59,4.93,5.22,69.125299298,6.062,4.937
2020-02-11T00:33:00.0,5.01,5.51,5.23,5.26,70.28810058050001,6.062,5
2020-02-11T00:34:00.0,4.89,5.67,5.37,5.28,70.82314111250001,6.062,5.062
2020-02-11T00:35:00.0,5.37,5.63,5.29,5.24,71.6533713805,6.062,5.062
2020-02-11T00:36:00.0,4.81,5.51,5.15,5.32,72.24486132050001,6.125,5.187
2020-02-11T00:37:00.0,4.93,5.49,4.59,5.26,72.09710849800001,6.125,5.187
2020-02-11T00:38:00.0,4.85,5.63,5.07,5.1,71.32750784800001,6.125,5.062
2020-02-11T00:39:00.0,4.97,4.53,4.89,5.16,71.38678448200001,6.062,5.062
2020-02-11T00:40:00.0,5.33,5.05,4.81,5.12,71.06060504050001,6.062,5.062
2020-02-11T00:41:00.0,4.97,5.37,5.23,5.02,70.139294728,6.062,4.937
2020-02-11T00:42:00.0,4.57,4.89,4.71,4.99,69.8712431605,6,4.937
2020-02-11T00:43:00.0,5.07,5.07,4.71,4.98,69.33436461250001,6,4.875
2020-02-11T00:44:00.0,4.93,5.11,5.05,5.09,69.8712431605,6,5
2020-02-11T00:45:00.0,4.89,5.49,5.01,5.15,70.6449091445,6,5.062
2020-02-11T00:46:00.0,5.45,5.19,4.79,5.08,70.22858781250001,6,5.062
2020-02-11T00:47:00.0,4.81,5.23,4.75,5.08,70.07975005000002,6,5.062
2020-02-11T00:48:00.0,5.07,5.27,5.11,5.2,70.4665623005,6,5.062
2020-02-11T00:49:00.0,5.15,5.11,5.01,5.2,70.8825262405,6,5.062
2020-02-11T00:50:00.0,5.33,5.19,5.23,5.3,71.801363528,6.062,5.187
2020-02-11T00:51:00.0,5.29,4.93,5.11,5.31,71.74217624200001,6.062,5.187
2020-02-11T00:52:00.0,5.15,5.55,4.89,5.26,72.274402312,6.062,5.25
2020-02-11T00:53:00.0,5.51,5.33,4.97,5.18,71.5645378,6.062,5.125
2020-02-11T00:54:00.0,5.23,5.37,4.97,5.2,71.4756755005,6.125,5.062
2020-02-11T00:55:00.0,4.59,5.63,5.05,5.18,72.0084185125,6.125,5.125
2020-02-11T00:56:00.0,4.97,5.55,4.81,5.12,72.0084185125,6.062,5.062
2020-02-11T00:57:00.0,5.37,5.05,4.79,5,71.86053805,6.062,5
2020-02-11T00:58:00.0,4.31,4.63,4.59,4.9,71.50529945800001,6,4.937
2020-02-11T00:59:00.0,4.75,4.81,5.01,5,71.83095238450001,6,4.937
2020-02-11T01:00:00.0,4.81,5.19,5.01,4.94,72.06754836050001,6,5
2020-02-11T01:01:00.0,4.53,4.79,4.79,4.94,71.94927590050001,6,5
2020-02-11T01:02:00.0,4.49,4.57,4.89,4.96,72.03798503200001,6,5
2020-02-11T01:03:00.0,5.07,4.79,4.75,4.96,71.978848802,6,5
2020-02-11T01:04:00.0,4.71,5.49,5.01,4.98,71.94927590050001,6,5
2020-02-11T01:05:00.0,4.41,4.81,4.71,5.02,71.6533713805,6,5
2020-02-11T01:06:00.0,4.59,5.05,5.05,5.02,71.53492022450001,5.937,5
2020-02-11T01:07:00.0,5.01,5.29,5.19,5,71.4756755005,6,5
2020-02-11T01:08:00.0,4.89,5.01,4.53,5.01,71.978848802,5.937,5
2020-02-11T01:09:00.0,5.19,5.29,4.93,4.99,71.682976192,5.937,4.937
2020-02-11T01:10:00.0,4.45,4.57,4.67,5.01,71.623763378,5.937,4.937
2020-02-11T01:11:00.0,4.15,4.71,4.63,4.88,71.32750784800001,5.937,4.875
2020-02-11T01:12:00.0,4.63,4.75,4.37,4.84,70.79344376200001,5.937,4.875
2020-02-11T01:13:00.0,5.01,5.07,5.23,4.91,70.49629475200001,5.875,4.875
2020-02-11T01:14:00.0,4.49,4.71,4.97,4.96,70.5854729605,5.875,4.875
2020-02-11T01:15:00.0,4.75,4.85,4.81,5.04,71.030933218,5.875,4.937
2020-02-11T01:16:00.0,5.01,4.93,4.49,4.94,70.615192648,5.875,4.937
2020-02-11T01:17:00.0,4.59,4.89,4.89,4.99,71.26821845,5.875,4.937
2020-02-11T01:18:00.0,4.59,4.89,4.71,4.99,71.8901205245,5.937,5
2020-02-11T01:19:00.0,4.63,4.75,4.79,5.05,72.687641138,5.937,5
2020-02-11T01:20:00.0,5.01,4.97,4.41,4.98,72.18576976450001,5.937,5
2020-02-11T01:21:00.0,4.75,5.05,4.57,5.02,72.569636722,6,5.062
2020-02-11T01:22:00.0,4.89,5.07,4.97,5.16,73.0118900245,6,5.125
2020-02-11T01:23:00.0,5.23,5.11,5.11,5.16,72.4220594045,6,5.125
2020-02-11T01:24:00.0,4.41,4.81,4.71,5.1,72.24486132050001,6.062,5.062
2020-02-11T01:25:00.0,4.27,4.75,4.57,5.09,72.03798503200001,6.062,5.062
2020-02-11T01:26:00.0,4.57,4.63,4.31,5.08,71.7717714805,6,5
2020-02-11T01:27:00.0,4.71,4.75,4.49,5.01,71.7717714805,6,5
2020-02-11T01:28:00.0,4.49,5.11,4.75,4.92,71.4756755005,5.937,4.937
2020-02-11T01:29:00.0,4.49,5.11,4.59,4.87,71.3571477605,5.937,4.937
2020-02-11T01:30:00.0,4.71,5.19,4.97,4.9,70.79344376200001,5.937,4.937
2020-02-11T01:31:00.0,4.45,5.01,4.41,4.82,70.436826658,5.875,4.875
2020-02-11T01:32:00.0,4.67,4.81,4.75,4.88,70.258345792,5.937,4.812
2020-02-11T01:33:00.0,4.85,4.89,4.59,4.86,70.31785217800001,5.875,4.875
2020-02-11T01:34:00.0,5.07,4.57,4.97,4.84,70.40708782450001,5.875,4.812
2020-02-11T01:35:00.0,4.31,4.41,4.67,4.92,71.14960136200001,5.812,4.875
2020-02-11T01:36:00.0,4.89,4.49,4.49,4.9,70.5260240125,5.812,4.875
2020-02-11T01:37:00.0,5.05,4.59,4.49,4.96,71.0012582045,5.812,4.875
2020-02-11T01:38:00.0,,,,,,,
2020-02-11T01:39:00.0,5.29,5.07,4.71,4.95,70.16906228050001,5.812,4.812
2020-02-11T01:40:00.0,4.67,5.01,4.59,4.9,70.19882664200001,5.875,4.812
2020-02-11T01:41:00.0,4.85,4.59,4.33,4.91,69.0356520125,5.812,4.75
2020-02-11T01:42:00.0,5.07,5.01,4.79,4.88,68.7964521805,5.812,4.75
2020-02-11T01:43:00.0,4.81,4.81,4.71,4.92,68.5570481245,5.75,4.687
2020-02-11T01:44:00.0,5.01,5.37,4.75,4.94,68.766537842,5.75,4.75
2020-02-11T01:45:00.0,4.81,4.75,4.75,5,69.60293312200001,5.75,4.75
2020-02-11T01:46:00.0,4.71,5.19,4.49,5.01,70.020192608,5.75,4.812
2020-02-11T01:47:00.0,5.19,4.85,4.63,4.95,70.31785217800001,5.75,4.812
2020-02-11T01:48:00.0,4.63,4.75,4.75,4.85,70.912214018,5.812,4.812
2020-02-11T01:49:00.0,4.31,5.01,4.57,4.93,71.94927590050001,5.812,4.875
2020-02-11T01:50:00.0,4.75,5.19,4.59,4.88,71.74217624200001,5.812,4.875
2020-02-11T01:51:00.0,4.49,4.81,4.75,4.78,72.06754836050001,5.812,4.812
2020-02-11T01:52:00.0,4.89,4.81,4.57,4.9,72.48109990450001,5.812,4.812
2020-02-11T01:53:00.0,4.67,4.67,4.67,4.86,73.68861728800002,5.812,4.875
2020-02-11T01:54:00.0,4.53,4.67,4.41,4.88,73.7180019205,5.812,4.875
2020-02-11T01:55:00.0,4.71,4.85,4.67,4.82,73.74738336200001,5.875,4.937
2020-02-11T01:56:00.0,4.49,4.67,4.27,4.88,74.65662531250001,5.875,4.937
2020-02-11T01:57:00.0,4.49,4.75,4.63,4.92,74.7151807805,5.875,4.937
2020-02-11T01:58:00.0,4.49,4.37,4.49,5.05,75.88360970050002,5.875,4.937
2020-02-11T01:59:00.0,4.57,4.79,4.75,4.86,75.446047168,5.875,5
2020-02-11T02:00:00.0,4.33,4.67,4.49,4.93,75.65033236450002,5.875,4.937
2020-02-11T02:01:00.0,4.19,4.75,4.23,4.6,74.5394760845,5.875,4.875
2020-02-11T02:02:00.0,4.59,4.63,4.27,4.84,73.18859031250001,5.812,4.812
2020-02-11T02:03:00.0,4.53,4.41,4.57,4.68,75.3000334405,5.812,4.75
2020-02-11T02:04:00.0,4.11,4.59,4.53,4.64,75.504430322,5.75,4.812
2020-02-11T02:05:00.0,4.67,4.57,4.71,4.76,75.3584485045,5.75,4.812
2020-02-11T02:06:00.0,,,,,,,
2020-02-11T02:07:00.0,4.23,4.63,4.41,4.72,76.08755984200002,5.75,4.812
2020-02-11T02:08:00.0,4.37,4.05,4.63,4.83,76.64035062050002,5.75,4.812
2020-02-11T02:09:00.0,4.59,4.37,4.49,4.76,76.378645952,5.687,4.875
2020-02-11T02:10:00.0,4.37,4.79,4.75,4.72,75.3000334405,5.687,4.812
2020-02-11T02:11:00.0,4.53,4.33,4.57,4.65,75.65033236450002,5.687,4.75
2020-02-11T02:12:00.0,4.49,4.85,4.67,4.7,75.621158338,5.687,4.812
2020-02-11T02:13:00.0,4.23,4.81,4.57,4.68,75.88360970050002,5.687,4.812
2020-02-11T02:14:00.0,4.37,4.41,4.53,4.65,78.0317435645,5.687,4.812
2020-02-11T02:15:00.0,3.89,4.57,4.57,4.84,77.48186297800001,5.687,4.937
2020-02-11T02:16:00.0,4.45,4.33,4.67,4.88,77.771417408,5.75,5
2020-02-11T02:17:00.0,4.49,4.31,4.75,4.88,78.2629276045,5.812,5.062
2020-02-11T02:18:00.0,4.15,4.37,4.79,4.98,78.08955872050001,5.875,5.125
2020-02-11T02:19:00.0,4.53,4.05,4.79,4.88,77.1629845445,5.875,5.187
2020-02-11T02:20:00.0,3.97,4.33,4.45,4.82,76.29135362450002,5.875,5.062
2020-02-11T02:21:00.0,4.45,4.75,4.37,4.8,74.099711762,5.875,4.937
2020-02-11T02:22:00.0,4.33,4.59,4.41,4.72,73.07080288450001,5.875,4.812
2020-02-11T02:23:00.0,4.37,4.05,4.33,4.6,72.4220594045,5.812,4.75
2020-02-11T02:24:00.0,4.37,4.45,4.53,4.45,71.623763378,5.812,4.625
2020-02-11T02:25:00.0,4.67,4.23,4.67,4.72,70.85283527200001,5.812,4.625
2020-02-11T02:26:00.0,4.11,4.01,4.37,4.46,71.030933218,5.75,4.625
2020-02-11T02:27:00.0,3.75,4.53,4.67,4.52,71.86053805,5.75,4.625
2020-02-11T02:28:00.0,4.27,4.23,4.19,4.46,71.801363528,5.687,4.687
2020-02-11T02:29:00.0,4.23,3.89,3.93,4.57,71.8901205245,5.687,4.687
2020-02-11T02:30:00.0,4.01,3.89,4.27,4.52,71.91969980800002,5.687,4.687
2020-02-11T02:31:00.0,4.01,3.71,4.45,4.66,72.5991426125,5.687,4.812
2020-02-11T02:32:00.0,3.75,4.57,4.59,4.7,73.04134805000001,5.687,4.812
2020-02-11T02:33:00.0,4.11,4.41,4.63,4.74,73.74738336200001,5.687,4.875
2020-02-11T02:34:00.0,3.71,4.27,4.45,4.56,73.18859031250001,5.687,4.812
2020-02-11T02:35:00.0,3.79,4.31,4.53,4.64,72.95296440050001,5.75,4.875
2020-02-11T02:36:00.0,4.11,4.19,4.37,4.65,72.83507486050001,5.687,4.812
2020-02-11T02:37:00.0,3.63,4.27,4.27,4.6,72.687641138,5.75,4.812
2020-02-11T02:38:00.0,4.11,4.23,4.01,4.54,71.801363528,5.687,4.75
2020-02-11T02:39:00.0,3.37,4.19,4.33,4.55,72.06754836050001,5.75,4.812
2020-02-11T02:40:00.0,3.67,4.23,4.45,4.66,72.15621920000001,5.75,4.812
2020-02-11T02:41:00.0,4.11,4.07,4.11,4.62,72.333474722,5.75,4.812
2020-02-11T02:42:00.0,3.79,4.37,4.27,4.62,72.7171342645,5.75,4.812
2020-02-11T02:43:00.0,4.23,4.41,4.37,4.63,72.09710849800001,5.75,4.812
2020-02-11T02:44:00.0,4.11,4.05,4.45,4.66,71.978848802,5.75,4.812
2020-02-11T02:45:00.0,3.85,4.33,4.27,4.7,72.06754836050001,5.75,4.812
2020-02-11T02:46:00.0,4.11,4.57,4.33,4.58,72.215317138,5.75,4.812
2020-02-11T02:47:00.0,4.53,4.23,4.57,4.68,72.5401276405,5.812,4.812
2020-02-11T02:48:00.0,4.27,4.37,4.41,4.54,72.06754836050001,5.75,4.75
2020-02-11T02:49:00.0,3.63,4.11,4.63,4.57,70.912214018,5.75,4.75
2020-02-11T02:50:00.0,4.37,4.19,4.37,4.6,70.73403948800001,5.75,4.75
2020-02-11T02:51:00.0,4.23,4.23,4.01,4.52,70.436826658,5.75,4.687
2020-02-11T02:52:00.0,4.31,4.59,4.27,4.44,69.96062240200001,5.75,4.625
2020-02-11T02:53:00.0,3.97,4.01,4.53,4.4,69.9904091005,5.687,4.625
2020-02-11T02:54:00.0,4.49,4.05,4.49,4.48,69.96062240200001,5.687,4.625
2020-02-11T02:55:00.0,4.01,4.19,4.41,4.48,70.70433256449999,5.687,4.625
2020-02-11T02:56:00.0,3.79,4.33,4.11,4.5,71.32750784800001,5.687,4.625
2020-02-11T02:57:00.0,3.97,4.01,4.33,4.5,71.3571477605,5.625,4.625
2020-02-11T02:58:00.0,3.81,4.33,4.85,4.51,71.7717714805,5.625,4.625
2020-02-11T02:59:00.0,4.01,4.41,4.19,4.7,72.83507486050001,5.687,4.75
2020-02-11T03:00:00.0,4.11,4.45,4.07,4.74,74.12905172050002,5.687,4.812
2020-02-11T03:01:00.0,4.57,4.41,4.45,4.74,75.00776666050001,5.75,4.875
2020-02-11T03:02:00.0,4.01,4.27,4.49,4.8,75.15393993800001,5.75,4.875
2020-02-11T03:03:00.0,3.97,4.27,4.57,4.89,74.94927501250001,5.812,4.875
2020-02-11T03:04:00.0,4.15,4.79,4.49,4.77,74.48088232450002,5.812,4.875
2020-02-11T03:05:00.0,4.01,4.07,4.19,4.74,74.0703686125,5.812,4.937
2020-02-11T03:06:00.0,4.01,4.19,4.49,4.66,73.7767616125,5.75,4.875
2020-02-11T03:07:00.0,3.97,4.59,4.71,4.6,72.92349680200002,5.75,4.875
2020-02-11T03:08:00.0,4.01,4.31,4.33,4.6,72.74662420000001,5.75,4.875
2020-02-11T03:09:00.0,4.27,4.33,4.45,4.5,71.71257781250002,5.75,4.75
2020-02-11T03:10:00.0,4.11,4.49,4.33,4.5,71.14960136200001,5.687,4.687
2020-02-11T03:11:00.0,4.01,4.45,4.19,4.42,71.2978647445,5.687,4.625
2020-02-11T03:12:00.0,3.55,4.49,4.27,4.54,71.26821845,5.687,4.625
2020-02-11T03:13:00.0,4.05,4.45,3.89,4.52,71.94927590050001,5.625,4.625
2020-02-11T03:14:00.0,4.01,4.11,4.07,4.4,71.91969980800002,5.625,4.625
2020-02-11T03:15:00.0,4.01,4.19,3.97,4.42,70.97158,5.625,4.562
2020-02-11T03:16:00.0,3.93,4.49,4.45,4.55,71.2385689645,5.562,4.562
2020-02-11T03:17:00.0,3.93,4.11,4.31,4.35,70.04997292450001,5.562,4.562
2020-02-11T03:18:00.0,4.19,3.79,4.71,4.36,69.8116410445,5.562,4.5
2020-02-11T03:19:00.0,3.89,4.23,4.31,4.32,69.6923985205,5.562,4.437
2020-02-11T03:20:00.0,3.79,4.49,4.11,4.26,69.304507712,5.5,4.375
2020-02-11T03:21:00.0,4.15,4.19,3.63,4.22,68.94597600800002,5.5,4.312
2020-02-11T03:22:00.0,4.23,4.07,3.97,4.2,68.73662031250001,5.437,4.25
2020-02-11T03:23:00.0,3.81,3.67,4.27,4.12,68.61691828450002,5.437,4.187
2020-02-11T03:24:00.0,3.41,3.49,4.11,4.04,68.3773610605,5.375,4.187
2020-02-11T03:25:00.0,4.19,3.97,3.85,4.09,67.77757452050001,5.375,4.125
2020-02-11T03:26:00.0,4.11,3.67,3.89,3.99,67.5973896605,5.312,4.125
2020-02-11T03:27:00.0,3.85,3.63,3.67,3.92,68.9160776245,5.312,4.125
2020-02-11T03:28:00.0,3.37,3.71,3.81,3.95,69.60293312200001,5.312,4.187
2020-02-11T03:29:00.0,3.29,3.71,3.71,4.02,69.51343900450001,5.25,4.187
2020-02-11T03:30:00.0,3.89,4.05,3.81,3.98,70.04997292450001,5.312,4.187
2020-02-11T03:31:00.0,3.63,3.81,3.75,3.98,70.020192608,5.312,4.187
2020-02-11T03:32:00.0,3.33,3.89,3.81,3.91,70.37734580000001,5.187,4.187
2020-02-11T03:33:00.0,3.93,3.41,3.75,3.82,70.28810058050001,5.25,4.187
2020-02-11T03:34:00.0,3.85,3.53,3.85,4.16,70.16906228050001,5.25,4.187
2020-02-11T03:35:00.0,3.29,3.53,4.11,3.94,69.8712431605,5.25,4.187
2020-02-11T03:36:00.0,3.25,2.99,3.89,3.94,70.3476005845,5.187,4.25
2020-02-11T03:37:00.0,3.63,3.59,3.67,4,71.50529945800001,5.25,4.25
2020-02-11T03:38:00.0,3.23,3.63,3.81,4.11,72.7171342645,5.25,4.312
2020-02-11T03:39:00.0,3.55,3.85,4.01,3.96,72.333474722,5.25,4.312
2020-02-11T03:40:00.0,3.75,3.07,4.07,4.04,72.36300614050002,5.312,4.312
2020-02-11T03:41:00.0,3.79,3.59,4.05,4.12,71.50529945800001,5.312,4.375
2020-02-11T03:42:00.0,3.55,4.23,3.79,4.14,72.4220594045,5.312,4.437
2020-02-11T03:43:00.0,3.49,3.67,4.05,4.17,72.06754836050001,5.312,4.437
2020-02-11T03:44:00.0,3.71,3.71,4.23,4.1,72.4220594045,5.375,4.5
2020-02-11T03:45:00.0,3.33,3.89,4.15,4.22,72.74662420000001,5.375,4.562
2020-02-11T03:46:00.0,3.63,3.85,4.23,4.34,72.805594498,5.375,4.562
2020-02-11T03:47:00.0,4.53,4.23,4.11,4.41,72.6581448205,5.437,4.625
2020-02-11T03:48:00.0,4.01,4.15,4.41,4.43,72.39253436800001,5.437,4.562
2020-02-11T03:49:00.0,4.33,4.15,4.53,4.5,72.5401276405,5.5,4.562
2020-02-11T03:50:00.0,4.57,4.19,4.23,4.6,72.95296440050001,5.5,4.562
2020-02-11T03:51:00.0,3.89,4.41,4.75,4.6,72.805594498,5.5,4.625
2020-02-11T03:52:00.0,4.23,3.93,4.59,4.56,72.687641138,5.562,4.562
2020-02-11T03:53:00.0,4.89,4.53,4.85,4.61,72.09710849800001,5.562,4.562
2020-02-11T03:54:00.0,4.31,4.67,4.31,4.72,71.4164180125,5.562,4.562
2020-02-11T03:55:00.0,4.27,4.79,4.67,4.64,71.50529945800001,5.562,4.5
2020-02-11T03:56:00.0,4.01,4.57,4.67,4.64,71.5645378,5.562,4.5
2020-02-11T03:57:00.0,4.31,4.53,4.59,4.62,71.14960136200001,5.562,4.437
2020-02-11T03:58:00.0,4.57,4.53,4.33,4.58,71.446048352,5.625,4.437
2020-02-11T03:59:00.0,4.23,4.53,4.31,4.53,71.50529945800001,5.625,4.375
2020-02-11T04:00:00.0,4.41,4.63,4.27,4.47,71.0012582045,5.625,4.312
2020-02-11T04:01:00.0,4.19,4.75,4.45,4.42,69.9308325125,5.625,4.312
2020-02-11T04:02:00.0,4.27,4.63,3.97,4.42,70.7637432205,5.625,4.312
2020-02-11T04:03:00.0,4.01,4.07,3.93,4.37,70.6449091445,5.625,4.312
2020-02-11T04:04:00.0,3.89,3.79,4.07,4.3,70.31785217800001,5.562,4.25
2020-02-11T04:05:00.0,3.49,4.11,4.23,4.36,70.19882664200001,5.625,4.25
2020-02-11T04:06:00.0,3.63,3.97,4.19,4.33,70.19882664200001,5.625,4.25
2020-02-11T04:07:00.0,3.59,4.11,3.93,4.22,70.3476005845,5.562,4.187
2020-02-11T04:08:00.0,3.79,4.11,3.81,4.2,70.40708782450001,5.562,4.25
2020-02-11T04:09:00.0,4.01,4.31,4.15,4.29,70.70433256449999,5.562,4.25
2020-02-11T04:10:00.0,3.97,4.01,4.15,4.35,71.3571477605,5.5,4.25
2020-02-11T04:11:00.0,4.23,4.59,3.93,4.34,71.71257781250002,5.5,4.25
2020-02-11T04:12:00.0,4.53,4.01,4.19,4.48,72.333474722,5.5,4.312
2020-02-11T04:13:00.0,,,,,,,
2020-02-11T04:14:00.0,4.33,4.33,4.19,4.61,74.978522432,5.5,4.375
2020-02-11T04:15:00.0,4.33,4.81,4.37,4.64,75.88360970050002,5.562,4.437
2020-02-11T04:16:00.0,4.49,4.63,4.23,4.76,76.5240693445,5.562,4.5
2020-02-11T04:17:00.0,4.23,4.33,4.31,4.74,76.494991048,5.562,4.562
2020-02-11T04:18:00.0,4.27,4.85,4.53,4.7,76.32045425800001,5.625,4.562
2020-02-11T04:19:00.0,4.33,4.67,4.27,4.67,76.00017178450001,5.625,4.562
2020-02-11T04:20:00.0,4.31,4.41,4.45,4.52,75.47524034050001,5.687,4.562
2020-02-11T04:21:00.0,4.11,4.63,4.15,4.54,74.5394760845,5.687,4.5
2020-02-11T04:22:00.0,4.01,4.31,4.11,4.59,73.982320018,5.687,4.562
2020-02-11T04:23:00.0,4.27,4.15,4.23,4.54,73.12970298050001,5.687,4.562
2020-02-11T04:24:00.0,3.75,4.49,4.31,4.49,72.274402312,5.687,4.5
2020-02-11T04:25:00.0,4.45,4.45,4.19,4.38,71.4164180125,5.687,4.437
2020-02-11T04:26:00.0,4.53,4.23,4.05,4.34,70.16906228050001,5.687,4.437
2020-02-11T04:27:00.0,3.93,4.07,4.23,4.28,69.8116410445,5.625,4.312
2020-02-11T04:28:00.0,3.55,4.11,4.15,4.17,68.94597600800002,5.562,4.312
2020-02-11T04:29:00.0,3.89,4.15,3.97,4.15,68.07762734050002,5.562,4.25
2020-02-11T04:30:00.0,4.19,4.23,4.05,4.09,67.32689697800001,5.5,4.25
2020-02-11T04:31:00.0,3.49,3.81,3.89,4.02,67.4170899245,5.5,4.187
2020-02-11T04:32:00.0,3.85,3.85,3.89,3.9,66.96583800200001,5.5,4.125
2020-02-11T04:33:00.0,3.33,3.81,3.81,3.84,66.39322154050001,5.437,4.125
2020-02-11T04:34:00.0,3.45,4.31,3.81,3.79,65.456479552,5.437,4.125
2020-02-11T04:35:00.0,3.55,4.33,4.05,3.78,64.91115761800002,5.437,4.125
2020-02-11T04:36:00.0,3.79,3.89,3.79,3.85,64.8808316405,5.437,4.125
2020-02-11T04:37:00.0,3.55,3.45,3.75,3.83,64.8808316405,5.375,4.125
2020-02-11T04:38:00.0,3.89,3.75,3.79,3.83,64.82017011250001,5.375,4.125
2020-02-11T04:39:00.0,3.41,3.55,3.75,3.81,65.24453276450001,5.375,4.125
2020-02-11T04:40:00.0,3.33,3.75,3.63,3.8,65.27482045,5.312,4.125
2020-02-11T04:41:00.0,3.37,3.89,3.75,3.83,65.24453276450001,5.375,4.125
2020-02-11T04:42:00.0,2.95,3.45,3.45,3.8,65.7892228805,5.375,4.125
2020-02-11T04:43:00.0,3.55,3.33,3.59,3.74,66.33287911250001,5.375,4.125
2020-02-11T04:44:00.0,2.61,3.11,3.67,3.72,66.2725239205,5.375,4.125
2020-02-11T04:45:00.0,,,,,,,
2020-02-11T04:46:00.0,3.29,3.49,3.81,3.8,64.9718,5.312,4.125
2020-02-11T04:47:00.0,3.63,3.49,3.89,3.87,65.214241888,5.312,4.125
2020-02-11T04:48:00.0,2.99,3.55,3.81,3.88,64.45593290050002,5.312,4.187
2020-02-11T04:49:00.0,3.63,3.93,3.53,3.98,64.7594958205,5.312,4.25
2020-02-11T04:50:00.0,3.59,3.63,3.85,3.95,64.72915388800001,5.312,4.187
2020-02-11T04:51:00.0,3.15,3.25,3.63,3.96,64.69880876450001,5.312,4.187
2020-02-11T04:52:00.0,3.29,3.59,3.97,4.06,64.7594958205,5.312,4.187
2020-02-11T04:53:00.0,3.63,4.01,4.11,4.18,65.18394782050001,5.375,4.25
2020-02-11T04:54:00.0,4.05,4.11,3.89,4.25,66.63446361250001,5.375,4.312
2020-02-11T04:55:00.0,3.63,3.97,4.05,4.29,67.77757452050001,5.375,4.312
2020-02-11T04:56:00.0,3.93,3.89,3.85,4.32,68.646848578,5.437,4.375
2020-02-11T04:57:00.0,3.81,4.05,4.33,4.35,68.61691828450002,5.5,4.375
2020-02-11T04:58:00.0,4.33,4.37,4.31,4.43,69.27464762050002,5.562,4.437
2020-02-11T04:59:00.0,4.15,4.57,4.67,4.48,69.75202616450001,5.562,4.437
2020-02-11T05:00:00.0,4.15,4.63,4.11,4.55,69.96062240200001,5.562,4.437
2020-02-11T05:01:00.0,4.37,4.63,4.57,4.66,70.31785217800001,5.625,4.437
2020-02-11T05:02:00.0,4.85,4.93,4.49,4.69,70.4665623005,5.687,4.562
2020-02-11T05:03:00.0,4.93,5.05,4.49,4.72,70.79344376200001,5.75,4.562
2020-02-11T05:04:00.0,4.63,4.79,4.67,4.74,70.7637432205,5.75,4.625
2020-02-11T05:05:00.0,4.41,4.57,4.41,4.78,70.94189860450001,5.812,4.625
