time,TempPlant2,TempPlant4,TempPlant6,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-03-01T00:00:00.0,2.99,2.85,2.47,3.44,107.9030344645,4.25,3.312
2020-03-01T00:01:00.0,2.95,2.77,2.89,3.44,107.9030344645,4.25,3.312
2020-03-01T00:02:00.0,2.73,2.95,3.11,3.46,107.8776322,4.25,3.312
2020-03-01T00:03:00.0,2.59,2.09,2.81,3.5,107.8522267445,4.187,3.375
2020-03-01T00:04:00.0,2.59,2.55,2.99,3.5,107.8522267445,4.25,3.375
2020-03-01T00:05:00.0,2.99,2.91,2.73,3.5,107.8522267445,4.25,3.375
2020-03-01T00:06:00.0,3.53,2.61,2.61,3.52,107.8522267445,4.25,3.437
2020-03-01T00:07:00.0,2.89,2.81,2.99,3.54,107.8522267445,4.312,3.437
2020-03-01T00:08:00.0,3.07,2.77,3.15,3.52,107.8522267445,4.312,3.437
2020-03-01T00:09:00.0,2.59,2.85,3.11,3.54,107.8522267445,4.312,3.437
2020-03-01T00:10:00.0,3.49,2.59,2.77,3.52,107.8776322,4.312,3.375
2020-03-01T00:11:00.0,3.11,2.85,2.85,3.54,107.8522267445,4.25,3.375
2020-03-01T00:12:00.0,2.81,2.73,2.91,3.5,107.8522267445,4.312,3.312
2020-03-01T00:13:00.0,2.69,2.55,3.11,3.52,107.9030344645,4.312,3.312
2020-03-01T00:14:00.0,2.85,2.65,3.11,3.5,107.9030344645,4.312,3.312
2020-03-01T00:15:00.0,2.95,2.85,2.73,3.5,107.8776322,4.25,3.312
2020-03-01T00:16:00.0,3.45,2.47,2.73,3.48,107.9030344645,4.312,3.312
2020-03-01T00:17:00.0,2.65,2.77,2.95,3.5,107.9030344645,4.312,3.312
2020-03-01T00:18:00.0,3.45,2.81,2.81,3.46,107.9030344645,4.25,3.25
2020-03-01T00:19:00.0,3.15,2.95,2.95,3.43,107.9030344645,4.25,3.187
2020-03-01T00:20:00.0,3.07,2.69,2.89,3.47,107.9030344645,4.25,3.25
2020-03-01T00:21:00.0,2.73,2.91,2.95,3.44,107.9030344645,4.312,3.25
2020-03-01T00:22:00.0,2.89,2.81,2.91,3.44,107.9030344645,4.25,3.25
2020-03-01T00:23:00.0,3.15,2.91,2.95,3.44,107.9030344645,4.25,3.25
2020-03-01T00:24:00.0,3.33,2.91,2.91,3.44,107.9030344645,4.312,3.25
2020-03-01T00:25:00.0,2.61,2.91,2.95,3.38,107.95382942050001,4.312,3.187
2020-03-01T00:26:00.0,2.81,2.77,2.73,3.38,107.928433538,4.25,3.187
2020-03-01T00:27:00.0,2.77,2.51,2.89,3.38,107.95382942050001,4.25,3.187
2020-03-01T00:28:00.0,2.69,2.55,3.23,3.32,107.95382942050001,4.187,3.187
2020-03-01T00:29:00.0,2.89,2.61,2.85,3.32,107.95382942050001,4.187,3.125
2020-03-01T00:30:00.0,2.95,2.65,2.81,3.31,107.97922211200002,4.187,3.125
2020-03-01T00:31:00.0,2.61,2.47,2.85,3.3,107.95382942050001,4.187,3.125
2020-03-01T00:32:00.0,2.65,2.47,2.73,3.31,107.95382942050001,4.187,3.125
2020-03-01T00:33:00.0,3.03,2.85,2.59,3.28,107.95382942050001,4.125,3.062
2020-03-01T00:34:00.0,3.49,2.95,3.03,3.28,107.95382942050001,4.125,3.062
2020-03-01T00:35:00.0,2.81,2.51,2.69,3.24,108.00461161250001,4.125,3
2020-03-01T00:36:00.0,3.59,2.47,2.59,3.22,108.00461161250001,4.125,3
2020-03-01T00:37:00.0,2.59,2.25,2.73,3.18,108.00461161250001,4.062,2.937
2020-03-01T00:38:00.0,2.59,2.39,2.77,3.19,108.00461161250001,4.062,3
2020-03-01T00:39:00.0,2.51,2.55,2.61,3.16,108.00461161250001,4.062,2.937
2020-03-01T00:40:00.0,,,,,,,
2020-03-01T00:41:00.0,2.59,2.35,2.81,3.17,108.00461161250001,4.062,3
2020-03-01T00:42:00.0,2.61,2.61,2.81,3.19,108.00461161250001,4.062,3
2020-03-01T00:43:00.0,2.25,2.43,2.81,3.2,108.00461161250001,4.062,3.062
2020-03-01T00:44:00.0,3.37,2.59,2.73,3.24,108.00461161250001,4.062,3.062
2020-03-01T00:45:00.0,2.73,2.91,2.77,3.28,107.95382942050001,4.062,3.062
2020-03-01T00:46:00.0,3.41,2.73,2.81,3.3,107.95382942050001,4.062,3.125
2020-03-01T00:47:00.0,3.03,2.69,3.07,3.28,107.95382942050001,4.062,3.062
2020-03-01T00:48:00.0,2.69,2.51,2.65,3.3,107.95382942050001,4.125,3.125
2020-03-01T00:49:00.0,2.13,2.85,2.73,3.28,107.97922211200002,4.125,3.062
2020-03-01T00:50:00.0,2.91,2.55,2.69,3.3,107.97922211200002,4.125,3.062
2020-03-01T00:51:00.0,2.65,2.21,2.73,3.32,107.95382942050001,4.125,3.062
2020-03-01T00:52:00.0,2.95,2.61,2.77,3.31,107.95382942050001,4.125,3.062
2020-03-01T00:53:00.0,,,,,,,
2020-03-01T00:54:00.0,2.95,2.91,2.95,3.34,107.95382942050001,4.187,3.125
2020-03-01T00:55:00.0,2.55,2.77,2.43,3.3,107.97922211200002,4.187,3.125
2020-03-01T00:56:00.0,2.77,2.59,3.03,3.31,107.95382942050001,4.187,3.125
2020-03-01T00:57:00.0,3.03,2.77,2.89,3.3,107.95382942050001,4.187,3.187
