time,TempPlant3,TempPlant4,TempPlant5,Air_temp_loc,Humedity,air_temp,Ambient_1
2020-02-15T00:00:00.0,5.93,5.55,5.93,5.92,104.2639678045,7.437,5.562
2020-02-15T00:01:00.0,5.71,5.37,5.93,5.86,104.2639678045,7.437,5.5
2020-02-15T00:02:00.0,4.89,5.51,5.73,5.67,104.36735744050002,7.375,5.312
2020-02-15T00:03:00.0,5.45,4.89,5.29,5.52,104.4190331125,7.375,5.125
2020-02-15T00:04:00.0,5.29,4.85,5.71,5.39,104.47069602050001,7.312,4.875
2020-02-15T00:05:00.0,4.97,4.71,5.63,5.32,104.47069602050001,7.187,4.812
2020-02-15T00:06:00.0,4.71,4.93,5.71,5.34,104.49652268800001,7.125,4.75
2020-02-15T00:07:00.0,5.51,4.93,5.45,5.32,104.52234616450001,7.062,4.75
2020-02-15T00:08:00.0,4.85,4.81,5.41,5.22,104.57398354450001,7,4.625
2020-02-15T00:09:00.0,5.23,4.81,5.51,5.22,104.57398354450001,6.937,4.562
2020-02-15T00:10:00.0,4.75,4.27,5.51,5.21,104.57398354450001,6.875,4.562
2020-02-15T00:11:00.0,4.71,4.57,5.55,5.18,104.599797448,6.812,4.562
2020-02-15T00:12:00.0,5.15,4.75,5.15,5.16,104.62560816050001,6.75,4.5
2020-02-15T00:13:00.0,4.79,4.79,5.51,5.2,104.62560816050001,6.687,4.5
2020-02-15T00:14:00.0,5.45,5.15,5.89,5.29,104.599797448,6.687,4.625
2020-02-15T00:15:00.0,4.85,4.67,5.59,5.37,104.57398354450001,6.625,4.687
2020-02-15T00:16:00.0,5.05,4.85,5.41,5.4,104.57398354450001,6.625,4.75
2020-02-15T00:17:00.0,5.29,4.85,5.63,5.41,104.57398354450001,6.625,4.75
2020-02-15T00:18:00.0,4.45,4.49,5.67,5.34,104.57398354450001,6.625,4.75
2020-02-15T00:19:00.0,4.27,4.89,5.01,5.22,104.62560816050001,6.625,4.625
2020-02-15T00:20:00.0,4.75,4.05,5.05,5.16,104.62560816050001,6.562,4.562
2020-02-15T00:21:00.0,5.07,4.75,5.59,5.14,104.65141568200002,6.562,4.5
2020-02-15T00:22:00.0,4.81,4.85,5.27,5.15,104.67722001250002,6.562,4.5
2020-02-15T00:23:00.0,4.57,4.41,5.33,5.18,104.67722001250002,6.562,4.5
2020-02-15T00:24:00.0,4.79,4.93,5.41,5.22,104.67722001250002,6.5,4.562
2020-02-15T00:25:00.0,4.67,4.79,5.45,5.22,104.67722001250002,6.5,4.562
2020-02-15T00:26:00.0,5.67,4.49,5.37,5.27,104.65141568200002,6.5,4.625
2020-02-15T00:27:00.0,,,,,,,
